Time,Output
0.0,0.6999984053922955
5.000000000000001e-13,0.6999984053922955
1.5000000000000003e-12,0.6999984053922955
3.500000000000001e-12,0.6999984053923243
7.500000000000002e-12,0.6999984053922811
1.5500000000000005e-11,0.6999984053923033
2.550000000000001e-11,0.6999984053922864
3.550000000000001e-11,0.6999984053923143
4.550000000000002e-11,0.6999984053922662
5.550000000000002e-11,0.6999984053923273
6.550000000000002e-11,0.6999984053922573
7.550000000000002e-11,0.6999984053923458
8.550000000000003e-11,0.6999984053922362
9.550000000000003e-11,0.6999984053923609
1.0000000000000002e-10,0.699998405392237
1.0002500000000001e-10,0.6999804348882286
1.000474848734546e-10,0.6999458687968956
1.0006996974690918e-10,0.6999012815127347
1.0011493949381837e-10,0.6997489860766084
1.0015990924072755e-10,0.6995177168348906
1.0020487898763673e-10,0.6992305479766038
1.0024984873454591e-10,0.6989203596912597
1.0033978822836427e-10,0.6983506502422581
1.0051966721600098e-10,0.6977020029795855
1.0069954620363768e-10,0.697724802047336
1.0087942519127439e-10,0.6982509233678331
1.0100000000000001e-10,0.6988629777441199
1.0101027951554378e-10,0.6989298547939629
1.0101953107953317e-10,0.6989940059118915
1.0102878264352256e-10,0.6990602676713853
1.0104728577150133e-10,0.699206805353271
1.0108429202745888e-10,0.6995641790516223
1.0112129828341642e-10,0.7000099297277923
1.0115830453937397e-10,0.7005332629559238
1.0123231705128907e-10,0.7016994978660407
1.0130632956320417e-10,0.7028679306564649
1.0138034207511928e-10,0.703873570205316
1.0145435458703438e-10,0.7046293323600894
1.0160237961086457e-10,0.705376090690968
1.0175040463469476e-10,0.7053008183378002
1.0189842965852496e-10,0.7047299328542269
1.0219447970618534e-10,0.7031518122389854
1.0249052975384573e-10,0.7016660203952196
1.0278657980150611e-10,0.7005930943857531
1.030826298491665e-10,0.6998263268395117
1.0337867989682688e-10,0.6990165629558998
1.0367472994448727e-10,0.697824305517498
1.0394117498738162e-10,0.6963468362127845
1.0418097552598653e-10,0.6948069701204984
1.0442077606459144e-10,0.6933593202926187
1.0466057660319635e-10,0.6923036322971172
1.0490037714180126e-10,0.6917429635387733
1.0514017768040617e-10,0.6915902312137255
1.0537997821901108e-10,0.6916689674321815
1.0561977875761598e-10,0.691812278183776
1.0609937983482581e-10,0.6921612894235357
1.0657898091203564e-10,0.6933784191371178
1.0705858198924547e-10,0.6970627393092346
1.0749022295873433e-10,0.7036553756934215
1.078701025213147e-10,0.7126128793880225
1.0820741287958033e-10,0.7224340297518418
1.085109922020194e-10,0.7313025116959107
1.0881457152445847e-10,0.7392217142747977
1.0911815084689753e-10,0.7459877118975898
1.094217301693366e-10,0.7517168834075656
1.0972530949177567e-10,0.7566914061602772
1.1002888881421474e-10,0.7610560312020812
1.103324681366538e-10,0.7641669820496025
1.1063604745909287e-10,0.7640229819452315
1.1093962678153194e-10,0.7572456424625658
1.11243206103971e-10,0.7395877095901764
1.1151642749416617e-10,0.7093497204709192
1.1175946830433122e-10,0.6673467074086145
1.1197820503347978e-10,0.6178779475367498
1.1219694176262833e-10,0.5601907500329394
1.1241567849177688e-10,0.4969299338505105
1.1263441522092543e-10,0.43017510279626653
1.1285315195007398e-10,0.3616207426697153
1.1329062540837109e-10,0.22756123583786164
1.1335097238130121e-10,0.2101255440299048
1.1347166632716145e-10,0.1766833012585478
1.1359236027302169e-10,0.14661206503292368
1.1371305421888192e-10,0.12078491706504246
1.1383374816474216e-10,0.0996086299586626
1.139544421106024e-10,0.08284180780696548
1.1407513605646263e-10,0.06979028813060262
1.1419583000232287e-10,0.05962728724238553
1.143165239481831e-10,0.05161713473199947
1.1455791183990357e-10,0.03982238135449778
1.1479929973162405e-10,0.03174680037799671
1.1504068762334452e-10,0.025793091579974226
1.1528207551506499e-10,0.021192570347557282
1.1576485129850593e-10,0.014550826930745608
1.1624762708194688e-10,0.010231060122404267
1.1673040286538783e-10,0.007304587201420465
1.1721317864882878e-10,0.005278481520970879
1.1817873021571066e-10,0.0027862094633910317
1.2010983334947446e-10,0.0007367372190435484
1.2204093648323826e-10,0.0002287389643905735
1.2397203961700206e-10,7.548058080719677e-05
1.2590314275076587e-10,2.663958645066078e-05
1.2976534901829347e-10,2.1068186800698996e-06
1.3362755528582107e-10,2.163199486093781e-06
1.4135196782087624e-10,1.7600086205105114e-06
1.568007928909866e-10,2.159654084121776e-06
1.868007928909866e-10,1.754911594153974e-06
2.168007928909866e-10,2.164466515464092e-06
2.468007928909866e-10,1.7494900338421715e-06
2.768007928909866e-10,2.1703509039960878e-06
3e-10,1.7423087143031424e-06
